fname,labels
102853-8-0-0.wav,siren
102853-8-0-1.wav,siren
102853-8-0-2.wav,siren
102853-8-0-3.wav,siren
102853-8-0-4.wav,siren
102853-8-0-5.wav,siren
102853-8-0-6.wav,siren
102853-8-1-0.wav,siren
102871-8-0-0.wav,siren
102871-8-0-1.wav,siren
102871-8-0-10.wav,siren
102871-8-0-11.wav,siren
102871-8-0-12.wav,siren
102871-8-0-13.wav,siren
102871-8-0-14.wav,siren
102871-8-0-15.wav,siren
102871-8-0-2.wav,siren
102871-8-0-3.wav,siren
102871-8-0-4.wav,siren
102871-8-0-5.wav,siren
102871-8-0-6.wav,siren
102871-8-0-7.wav,siren
102871-8-0-8.wav,siren
102871-8-0-9.wav,siren
105289-8-0-0.wav,siren
105289-8-0-1.wav,siren
105289-8-0-2.wav,siren
105289-8-0-3.wav,siren
105289-8-0-4.wav,siren
105289-8-0-5.wav,siren
105289-8-1-0.wav,siren
105289-8-1-1.wav,siren
105289-8-1-2.wav,siren
105289-8-1-3.wav,siren
105289-8-1-4.wav,siren
105289-8-2-0.wav,siren
105289-8-2-1.wav,siren
105289-8-2-2.wav,siren
105289-8-2-3.wav,siren
105289-8-2-4.wav,siren
105289-8-2-5.wav,siren
105289-8-2-6.wav,siren
105289-8-2-7.wav,siren
106905-8-0-0.wav,siren
106905-8-0-1.wav,siren
106905-8-0-2.wav,siren
106905-8-0-3.wav,siren
107357-8-0-0.wav,siren
107357-8-0-1.wav,siren
107357-8-0-2.wav,siren
107357-8-0-3.wav,siren
107357-8-0-4.wav,siren
107357-8-0-5.wav,siren
107357-8-0-6.wav,siren
107357-8-0-7.wav,siren
107357-8-0-8.wav,siren
107357-8-1-0.wav,siren
107357-8-1-1.wav,siren
107357-8-1-10.wav,siren
107357-8-1-11.wav,siren
107357-8-1-12.wav,siren
107357-8-1-13.wav,siren
107357-8-1-14.wav,siren
107357-8-1-15.wav,siren
107357-8-1-16.wav,siren
107357-8-1-17.wav,siren
107357-8-1-18.wav,siren
107357-8-1-2.wav,siren
107357-8-1-3.wav,siren
107357-8-1-4.wav,siren
107357-8-1-5.wav,siren
107357-8-1-6.wav,siren
107357-8-1-7.wav,siren
107357-8-1-8.wav,siren
107357-8-1-9.wav,siren
111671-8-0-0.wav,siren
111671-8-0-1.wav,siren
111671-8-0-10.wav,siren
111671-8-0-11.wav,siren
111671-8-0-12.wav,siren
111671-8-0-13.wav,siren
111671-8-0-14.wav,siren
111671-8-0-15.wav,siren
111671-8-0-16.wav,siren
111671-8-0-17.wav,siren
111671-8-0-18.wav,siren
111671-8-0-19.wav,siren
111671-8-0-2.wav,siren
111671-8-0-20.wav,siren
111671-8-0-21.wav,siren
111671-8-0-22.wav,siren
111671-8-0-3.wav,siren
111671-8-0-4.wav,siren
111671-8-0-5.wav,siren
111671-8-0-6.wav,siren
111671-8-0-7.wav,siren
111671-8-0-8.wav,siren
111671-8-0-9.wav,siren
113160-8-0-0.wav,siren
117181-8-0-0.wav,siren
117181-8-0-1.wav,siren
117181-8-0-10.wav,siren
117181-8-0-11.wav,siren
117181-8-0-12.wav,siren
117181-8-0-2.wav,siren
117181-8-0-3.wav,siren
117181-8-0-4.wav,siren
117181-8-0-5.wav,siren
117181-8-0-6.wav,siren
117181-8-0-7.wav,siren
117181-8-0-8.wav,siren
117181-8-0-9.wav,siren
118279-8-0-0.wav,siren
118279-8-0-1.wav,siren
118279-8-0-10.wav,siren
118279-8-0-11.wav,siren
118279-8-0-12.wav,siren
118279-8-0-13.wav,siren
118279-8-0-14.wav,siren
118279-8-0-2.wav,siren
118279-8-0-3.wav,siren
118279-8-0-4.wav,siren
118279-8-0-5.wav,siren
118279-8-0-6.wav,siren
118279-8-0-7.wav,siren
118279-8-0-8.wav,siren
118279-8-0-9.wav,siren
121528-8-1-0.wav,siren
121528-8-1-1.wav,siren
123688-8-0-0.wav,siren
123688-8-0-1.wav,siren
123688-8-0-10.wav,siren
123688-8-0-11.wav,siren
123688-8-0-12.wav,siren
123688-8-0-13.wav,siren
123688-8-0-14.wav,siren
123688-8-0-15.wav,siren
123688-8-0-16.wav,siren
123688-8-0-17.wav,siren
123688-8-0-18.wav,siren
123688-8-0-2.wav,siren
123688-8-0-3.wav,siren
123688-8-0-4.wav,siren
123688-8-0-5.wav,siren
123688-8-0-6.wav,siren
123688-8-0-7.wav,siren
123688-8-0-8.wav,siren
123688-8-0-9.wav,siren
123688-8-1-0.wav,siren
123688-8-1-1.wav,siren
123688-8-1-2.wav,siren
123688-8-1-3.wav,siren
123688-8-1-4.wav,siren
123688-8-1-5.wav,siren
123688-8-2-0.wav,siren
123688-8-2-1.wav,siren
123688-8-2-2.wav,siren
123688-8-2-3.wav,siren
123688-8-2-4.wav,siren
124389-8-1-0.wav,siren
124389-8-1-1.wav,siren
124389-8-1-10.wav,siren
124389-8-1-11.wav,siren
124389-8-1-12.wav,siren
124389-8-1-13.wav,siren
124389-8-1-14.wav,siren
124389-8-1-15.wav,siren
124389-8-1-16.wav,siren
124389-8-1-17.wav,siren
124389-8-1-18.wav,siren
124389-8-1-2.wav,siren
124389-8-1-3.wav,siren
124389-8-1-4.wav,siren
124389-8-1-5.wav,siren
124389-8-1-6.wav,siren
124389-8-1-7.wav,siren
124389-8-1-8.wav,siren
124389-8-1-9.wav,siren
133473-8-0-0.wav,siren
133473-8-0-1.wav,siren
133473-8-0-2.wav,siren
133473-8-0-3.wav,siren
133473-8-0-4.wav,siren
133473-8-0-5.wav,siren
135160-8-0-0.wav,siren
135160-8-0-1.wav,siren
135160-8-0-10.wav,siren
135160-8-0-11.wav,siren
135160-8-0-2.wav,siren
135160-8-0-3.wav,siren
135160-8-0-4.wav,siren
135160-8-0-5.wav,siren
135160-8-0-6.wav,siren
135160-8-0-7.wav,siren
135160-8-0-8.wav,siren
135160-8-0-9.wav,siren
148632-8-0-0.wav,siren
148632-8-0-1.wav,siren
148632-8-0-10.wav,siren
148632-8-0-11.wav,siren
148632-8-0-12.wav,siren
148632-8-0-13.wav,siren
148632-8-0-14.wav,siren
148632-8-0-15.wav,siren
148632-8-0-16.wav,siren
148632-8-0-17.wav,siren
148632-8-0-18.wav,siren
148632-8-0-2.wav,siren
148632-8-0-3.wav,siren
148632-8-0-4.wav,siren
148632-8-0-5.wav,siren
148632-8-0-6.wav,siren
148632-8-0-7.wav,siren
148632-8-0-8.wav,siren
148632-8-0-9.wav,siren
156868-8-0-0.wav,siren
156868-8-1-0.wav,siren
156868-8-2-0.wav,siren
156868-8-3-0.wav,siren
156868-8-4-0.wav,siren
156869-8-0-0.wav,siren
156869-8-0-1.wav,siren
156869-8-0-10.wav,siren
156869-8-0-11.wav,siren
156869-8-0-2.wav,siren
156869-8-0-3.wav,siren
156869-8-0-4.wav,siren
156869-8-0-5.wav,siren
156869-8-0-6.wav,siren
156869-8-0-7.wav,siren
156869-8-0-8.wav,siren
156869-8-0-9.wav,siren
157648-8-0-0.wav,siren
157866-8-0-0.wav,siren
157866-8-0-1.wav,siren
157866-8-0-10.wav,siren
157866-8-0-11.wav,siren
157866-8-0-12.wav,siren
157866-8-0-13.wav,siren
157866-8-0-14.wav,siren
157866-8-0-15.wav,siren
157866-8-0-16.wav,siren
157866-8-0-17.wav,siren
157866-8-0-18.wav,siren
157866-8-0-19.wav,siren
157866-8-0-2.wav,siren
157866-8-0-20.wav,siren
157866-8-0-21.wav,siren
157866-8-0-22.wav,siren
157866-8-0-23.wav,siren
157866-8-0-24.wav,siren
157866-8-0-25.wav,siren
157866-8-0-26.wav,siren
157866-8-0-27.wav,siren
157866-8-0-3.wav,siren
157866-8-0-4.wav,siren
157866-8-0-5.wav,siren
157866-8-0-6.wav,siren
157866-8-0-7.wav,siren
157866-8-0-8.wav,siren
157866-8-0-9.wav,siren
157867-8-0-0.wav,siren
157867-8-0-1.wav,siren
157867-8-0-10.wav,siren
157867-8-0-11.wav,siren
157867-8-0-12.wav,siren
157867-8-0-13.wav,siren
157867-8-0-14.wav,siren
157867-8-0-15.wav,siren
157867-8-0-16.wav,siren
157867-8-0-17.wav,siren
157867-8-0-18.wav,siren
157867-8-0-19.wav,siren
157867-8-0-2.wav,siren
157867-8-0-20.wav,siren
157867-8-0-21.wav,siren
157867-8-0-22.wav,siren
157867-8-0-23.wav,siren
157867-8-0-24.wav,siren
157867-8-0-25.wav,siren
